id,location,address,city,zip_code,lat,lon,category,state,info
233,Hennigan Place,3503 Tilley Morris Rd,Charlotte,,35.0564866,-80.7481388,Historic,NC,Greek Revival
234,Crane Company Building,1307 W Morehead St,Charlotte,,35.2287104,-80.8626302,Historic,NC,Industrial Warehouse
235,Eastover Elementary School,Cherokee Rd & Cherokee Pl,Charlotte,,35.1971777,-80.8209212,Historic,NC,Land
236,Thompson Orphanage Chapel,1129 E Third St,Charlotte,,35.216187,-80.833153,Historic,NC,Gothic Revival
237,Hovis Funeral Home,516 N Tryon St,Charlotte,,35.2304898,-80.8379632,Historic,NC,Neoclassical
238,Cashion & Moore Family Cemetery,McAuley Rd @ Davidson-Concord Rd,Davidson,,35.4452738,-80.781185,Historic,NC,Cemetery
239,Park Avenue Mill Village,423 Park Ave,Pineville,,35.0822159,-80.8948255,Historic,NC,Mill Village
240,Stratton House,911 W Fourth St Ext,Charlotte,,35.2326927,-80.8538442,Historic,NC,Land
241,Dinkins House & Lodge,2400 Summerlake Rd,Charlotte,,35.127448,-80.796785,Historic,NC,Federal
242,Dilworth Airplane Bungalow,2144 Park Rd,Charlotte,,35.2007068,-80.8525038,Historic,NC,Airplane Bungalow
243,Philanthropic Hall (Davidson College Campus),216 N Main St,Davidson,,35.500364,-80.8469609,Historic,NC,Greek Revival
244,Mt. Carmel Baptist Church,412 Campus St,Charlotte,,35.2462266,-80.8580601,Historic,NC,Gothic Revival
245,Cooper Log House,5621 Mt Olive Church Rd,Charlotte,,35.204005,-80.973831,Historic,NC,Log
246,Little Rock A.M.E. Zion Church,401 N Myers St,Charlotte,,35.2237953,-80.8328051,Historic,NC,Neoclassical
247,Shotgun House B,715 E Seventh St,Charlotte,,35.2243129,-80.833624,Historic,NC,Shotgun
248,Biddleville Cemetery,Cemetery St & French St,Charlotte,,35.248364,-80.859752,Historic,NC,Graveyard/Cemetery
249,Park Avenue Mill Village,420 Park Ave,Pineville,,35.0824277,-80.8943825,Historic,NC,Mill Village
250,McCausland Building-Thacker's Restaurant,221 S Tryon St,Charlotte,,35.2259534,-80.8446717,Historic,NC,Commercial
251,Ranson House,412 S Old Statesville Rd,Huntersville,,35.4051924,-80.8419739,Historic,NC,Colonial Revival
252,Highland Park Mill No. 3,2901 N Davidson St,Charlotte,,35.2461366,-80.809316,Historic,NC,Vernacular
253,Sherrill-Robbins House,19726 Zion Ave,Cornelius,,35.4785748,-80.8554009,Historic,NC,Queen Anne
254,Bryant Park,1701 W Morehead St,Charlotte,,35.227481,-80.87057,Historic,NC,Rustic Revival
255,Reynolds-Gourmajenko House,715 Providence Rd,Charlotte,,35.2002745,-80.8246734,Historic,NC,Tuscan Revival
256,Beaver Dam House,19600 Davidson-Concord Rd,Davidson,,35.475572,-80.817654,Historic,NC,Log (altered)
257,Providence Women's Club Community House (land),9735 Community House Rd,Charlotte,,35.036843,-80.8278094,Historic,NC,Land
258,Atherton Cotton Mills,2108 South Blvd,Charlotte,,35.2076899,-80.8617784,Historic,NC,Cotton Mill
259,Phillips House and Morris Barn,131 W Charles St,Matthews,,35.1175369,-80.7227194,Historic,NC,Craftsman Style Bungalow
260,Roseland Cemetery,10252 Monroe Rd,Matthews,,35.1327939,-80.73721,Historic,NC,Cemetery
261,Pineville Commercial Block,314 Main St,Pineville,,35.085808,-80.8906073,Historic,NC,Commercial
262,Seaboard Air Line Railroad Station,945 N College St,Charlotte,,35.2340722,-80.8327835,Historic,NC,Classical Revival
